observed_at,source,level,variant,outcome,hits_to_clear,time_to_clear_s,speed_p50,speed_p90,speed_max,damage_p50,damage_max,max_combo,glancing_hits,damaging_hits,rope_contacts,yanks,frame_ms_p95,errors
2026-09-14T08:07:32.851Z,human,L6,heavy,SHATTER,3,4.05,153.47,235.18,348.45,40,40,3,1,3,1071,0,6.2,0
2026-09-14T08:07:38.306Z,human,L6,heavy,SHATTER,3,2.57,144.67,271.89,497.56,40,40,3,0,3,375,0,6.2,0
2026-09-14T08:07:42.611Z,human,L7,heavy,SHATTER,4,4.07,145.36,235.48,402.44,40,40,4,1,4,388,0,6.2,0
2026-09-14T08:07:48.432Z,human,L7,heavy,SHATTER,4,3.65,118.29,200.73,335.57,31.91,40,4,1,4,247,0,6.1,0
2026-09-14T08:07:53.296Z,human,L7,heavy,SHATTER,4,3.9,150.28,207.37,256.32,31.14,40,2,2,4,393,0,6.2,0
2026-09-14T08:07:58.456Z,human,L7,heavy,SHATTER,3,2.79,124.79,187.95,217.66,38.51,40,3,3,3,72,0,6.2,0
2026-09-14T08:08:02.879Z,human,L8,heavy,SHATTER,3,2.7,111.42,192.36,263,40,40,3,0,3,185,0,6.2,0
2026-09-14T08:08:08.641Z,human,L8,heavy,SHATTER,4,3.11,128.04,291.07,453.91,34.28,40,4,3,4,862,0,6.2,0
2026-09-14T08:08:13.862Z,human,L8,heavy,SHATTER,4,2.87,134.07,219.85,298.3,22.86,40,4,1,4,318,0,6.1,0
2026-09-14T08:08:17.986Z,human,L8,heavy,SHATTER,5,3.14,149.91,344.73,427.08,22.58,40,5,2,5,926,0,6.1,0
2026-09-14T08:08:27.001Z,human,L8,heavy,SHATTER,3,2.45,92.33,254.23,368.49,40,40,3,0,3,426,0,6.2,0
2026-09-14T08:08:31.945Z,human,L8,heavy,SHATTER,3,3.08,157.04,272.93,369.31,40,40,3,0,3,289,0,6.2,0
2026-09-14T08:08:36.751Z,human,L8,heavy,SHATTER,4,2.87,143.69,213.83,309.81,40,40,4,2,4,368,0,6.2,0
2026-09-14T08:08:40.686Z,human,L9,heavy,SHATTER,3,3.53,76.34,216.19,280.16,40,40,3,1,3,700,0,6.2,0
2026-09-14T08:08:45.413Z,human,L9,heavy,SHATTER,4,2.97,91.9,243.92,321.21,40,40,4,0,4,585,0,6.2,0
2026-09-14T08:08:49.807Z,human,L9,heavy,SHATTER,4,2.64,89.05,184.79,289.92,31.17,40,4,0,4,468,0,6.1,0
2026-09-14T08:08:53.773Z,human,L9,heavy,SHATTER,4,3.4,122.49,273.85,435.9,33.01,40,3,1,4,497,0,6.2,0
2026-09-14T08:08:58.489Z,human,L9,heavy,SHATTER,4,3.86,102.99,196.02,318.08,20.55,40,3,1,4,1307,0,6.2,0
2026-09-14T08:09:03.973Z,human,L9,heavy,SHATTER,3,2.05,118.76,196.92,259.72,40,40,3,0,3,300,0,6.2,0
2026-09-15T11:19:13.565Z,human,L4,standard,SHATTER,3,4.48,27.63,163.13,279.37,40,40,3,1,3,462,0,6.2,0
2026-09-15T11:19:19.526Z,human,L4,standard,SHATTER,9,8.55,27.89,153.23,280.37,9.74,40,7,0,9,2283,0,6.2,0
2026-09-15T11:19:29.403Z,human,L4,standard,SHATTER,4,6.46,37,159.29,288.85,37.55,40,2,0,4,3124,0,6.2,0
2026-09-15T11:19:37.131Z,human,L4,standard,SHATTER,5,3.61,74.35,160.54,261.43,24.17,40,5,2,5,1139,0,6.2,0
2026-09-15T11:19:43.091Z,human,L5,standard,SHATTER,8,20.13,22.36,103.65,203.51,15.42,33.67,4,5,8,842,1,6.2,0
2026-09-15T11:20:04.668Z,human,L5,standard,SHATTER,4,5.71,96.48,192.58,252.04,15.38,40,2,1,4,428,0,6.2,0
2026-09-15T11:20:12.580Z,human,L5,standard,SHATTER,4,4.86,103.25,196.25,247.35,31.61,40,3,1,4,216,0,6.2,0
2026-09-15T11:20:18.535Z,human,L6,standard,SHATTER,4,24.66,47.05,144.27,268.15,32.2,40,1,0,4,2214,0,6.2,0
2026-09-15T11:20:47.561Z,human,L6,standard,SHATTER,3,3.84,71.04,181.77,223.43,40,40,3,1,3,300,0,6.2,0
2026-09-15T11:20:52.836Z,human,L6,standard,SHATTER,5,41.02,61.61,147.27,264.38,27.29,37.68,1,1,5,1604,1,6.2,0
2026-09-15T11:21:38.054Z,human,L7,standard,SHATTER,4,2.97,132.62,267.16,370.54,14.18,40,4,1,4,823,0,6.2,0
2026-09-15T11:21:44.563Z,human,L4,heavy,SHATTER,3,2.62,79.86,262.68,412.47,40,40,3,0,3,962,0,6.2,0
2026-09-15T11:21:48.392Z,human,L4,heavy,SHATTER,6,3.98,38.41,258.59,446.95,19.34,40,6,0,6,2149,0,6.2,0
2026-09-15T11:21:53.578Z,human,L4,heavy,SHATTER,4,2.52,126.26,278.91,366.53,36.06,40,4,0,4,545,0,6.2,0
2026-09-15T11:21:57.498Z,human,L4,heavy,SHATTER,4,3.7,97.65,232.7,335.88,35.7,40,3,1,4,1924,0,6.2,0
2026-09-15T11:22:02.578Z,human,L5,heavy,SHATTER,4,8.22,57.34,172.85,255.57,34.44,40,4,2,4,274,0,6.2,0
2026-09-15T11:22:12.660Z,human,L5,heavy,SHATTER,4,3.78,88.44,176.84,260.73,40,40,4,1,4,172,0,6.2,0
2026-09-15T11:22:17.554Z,human,L5,heavy,SHATTER,6,7.84,44.97,110.91,152.72,13.18,40,2,1,6,1145,0,6.1,0
2026-09-15T11:22:26.994Z,human,L6,heavy,SHATTER,3,16.1,69.38,170.53,326.68,40,40,2,0,3,357,1,6.2,0
2026-09-15T11:22:45.398Z,human,L6,heavy,SHATTER,3,7.77,80.19,205.79,387.54,40,40,2,1,3,510,0,6.2,0
